College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
Jawaharlal Nehru Technological University,Co-Ed,89 Acres,730,276,1972,3.01,,"BT_CSE, BT_ECE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Guest Room, Banks Facilities",Hyderabad,Telangana,India,Public/Government,219825.08833922262
Rajasthan Technical University,Co-Ed,,2621,105,2006,,,"BT_ME, BT_CSE, BT_CSE, BT_EE, BT_ECE, BT_ME, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_CSE, BT_EE, BT_ECE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_CE, BT_EE, BT_ME, BT_ECE, BT_ChemE, BT_ChemE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Alumni Associations, Banks Facilities",Kota,Rajasthan,India,Public/Government,262906.6666666667
Guru Jambheshwar University of Science and Technology,Co-Ed,372 Acres,12899,200,1995,3.28,,"BT_CSE, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_CE, BT_ME, BT_ECE, BT_CSE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Banks Facilities",Hisar,Haryana,India,Public/Government,122069.60784313726
MBM Engineering College,Co-Ed,62 Acres,,79,1951,,"Jai Narain Vyas University, Jodhpur","BT_CE, BT_ME, BT_ECE, BT_EE, BT_CSE, BT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Jodhpur,Rajasthan,India,Public/Government,106447.36842105263
Guru Ghasidas Vishwavidyalaya,Co-Ed,655 Acres,7070,232,1983,2.72,,"BT_ChemE, BT_CSE, BT_ECE, BT_ME, BT_CE, MT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Bilaspur,Chhattisgarh,India,Public/Government,37003.37837837838
Jawaharlal Nehru Technological University,Co-Ed,110 Acres,3001,140,1946,,,"BT_ME, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Kakinada,Andhra Pradesh,India,Public/Government,213617.80821917808
Jaipur National University,Co-Ed,170 Acres,19329,522,2007,2.28,,"BT_CE, BT_ME, BT_CSE, BT_EE, BT_ECE, BT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Jaipur,Rajasthan,India,Private,242929.6875
Dr MGR Educational and Research Institute,Co-Ed,300 Acres,12424,1566,2003,3.31,,"BT_ME, BT_CSE, BT_CE, BT_ECE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Chennai,Tamil Nadu,India,Public/Government,253453.54430379748
JNTUA College of Engineering,Co-Ed,185 Acres,2450,57,1946,,"Jawaharlal Nehru Technological University, Anantapur","BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Anantapur,Andhra Pradesh,India,Public/Government,56464.28571428572
Pondicherry University,Co-Ed,800 Acres,15904,380,1985,3.1,,"BT_ECE, BT_ME, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ChemE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_ECE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Kalapet,Puducherry,India,Public/Government,121542.19047619047
NIMS University,Co-Ed,60 Acres,4273,550,2008,2.54,,"BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Banks Facilities",Jaipur,Rajasthan,India,Private,561898.1481481482
Punjabi University,Co-Ed,600 Acres,26549,806,1962,3.34,,"BT_CSE, BT_ME, BT_CSE, BT_ECE, BT_ME, BT_CSE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Moot Court, Laboratories, Alumni Associations, Guest Room",Patiala,Punjab,India,Public/Government,137022.66666666666
Acharya Nagarjuna University,Co-Ed,274 Acres,17060,125,1976,3.08,,"BT_CE, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_CE, BT_CSE, BT_ECE, BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Guntur,Andhra Pradesh,India,Public/Government,146143.738317757
Rajiv Gandhi Proudyogiki Vishwavidyalaya,Co-Ed,247 Acres,,18,1998,,,"BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, IT Infrastructure, Laboratories, Guest Room",Bhopal,Madhya Pradesh,India,Public/Government,251148.0
Gujarat Technological University,Co-Ed,,199,25,2007,,,"BT_ME, BT_CE, BT_CE, BT_EE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Ahmedabad,Gujarat,India,Public/Government,170923.06896551725
Maharshi Dayanand University,Co-Ed,665 Acres,65782,396,1976,3.44,,"BT_CSE, BT_ME, BT_CSE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CSE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations, Banks Facilities",Rohtak,Haryana,India,Public/Government,128565.92356687898
Himachal Pradesh University,Co-Ed,200 Acres,11785,236,1970,3.21,,"BT_CE, BT_CE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME, BT_CSE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Shimla,Himachal Pradesh,India,Public/Government,136316.79104477612
Dibrugarh University,Co-Ed,500 Acres,13494,209,1965,3.16,,"BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Dibrugarh,Assam,India,Public/Government,57395.11811023622
Dr Babasaheb Ambedkar Technological University,Co-Ed,525 Acres,2639,54,1989,,,"BT_ME, BT_ME, BT_CE, BT_CSE, BT_CSE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Lonere,Maharashtra,India,Public/Government,279052.1327014218
Gautam Buddha University,Co-Ed,511 Acres,3658,137,2002,,,"BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_ECE, BT_ME, BT_ME, MT_CS","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Greater Noida,Uttar Pradesh,India,Public/Government,237873.4939759036
Kakatiya University,Co-Ed,640 Acres,5261,157,1976,,,"BT_CSE, BT_ECE, BT_ME, BT_CE, BT_ECE, BT_ECE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_CSE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Hanamkonda,Telangana,India,Public/Government,116186.9
Visvesvaraya Technological University,Co-Ed,,134,479,1998,,,"BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Belgaum,Karnataka,India,Public/Government,365277.42424242425
University of Calicut,Co-Ed,547 Acres,148878,131,1968,3.13,,"BT_CSE, BT_ECE, BT_ME, BT_CE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Malappuram,Kerala,India,Public/Government,104846.17391304347
IK Gujral Punjab Technical University,Co-Ed,78 Acres,1505,77,1997,,,"BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_CSE, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE","Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Transport, Alumni Associations",Kapurthala,Punjab,India,Public/Government,274623.4554973822
Dr Babasaheb Ambedkar Marathwada University,Co-Ed,725 Acres,4495,211,1958,3.22,,"BT_ME, BT_ME, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Aurangabad,Maharashtra,India,Public/Government,127575.81081081081
Babu Banarasi Das National Institute of Technology and Management,Co-Ed,,,221,1998,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_CE, BT_CSE, BT_EE, BT_ME, BT_ECE, BT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Banks Facilities",Lucknow,Uttar Pradesh,India,Private,422214.28571428574
University of Kerala,Co-Ed,,19718,172,1937,3.03,,"BT_CE, BT_ME, BT_ME, BT_ME, BT_CSE, BT_ECE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Thiruvananthapuram,Kerala,India,Public/Government,80572.79220779221
Gauhati University,Co-Ed,650 Acres,20275,349,1948,3.04,,"BT_CE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Guwahati,Assam,India,Public/Government,70953.54430379746
Bipin Tripathi Kumaon Institute of Technology,Co-Ed,155 Acres,1399,35,1991,,"Uttarakhand Technical University, Dehradun","BT_ECE, BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ME","Boys Hostel, Girls Hostel, Library, Cafeteria, Medical/Hospital, Wifi, Guest Room, Banks Facilities",Hulank Talli Mirai,Uttarakhand,India,Public/Government,242363.63636363635
Calcutta Institute of Technology,Co-Ed,33 Acres,476,91,2004,,"Maulana Abul Kalam Azad University of Technology, Kolkata","BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ME, BT_ECE, MT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room, Banks Facilities",Howrah,West Bengal,India,Private,236600.0
Ranchi University,Co-Ed,,7297,141,1960,,,"BT_CE, BT_ME, BT_ME, BT_CE, BT_CE, BT_CSE, BT_ECE, BT_ME, BT_CSE, BT_ECE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Laboratories, Parking Facility",Ranchi,Jharkhand,India,Public/Government,99484.17721518988
Shaheed Bhagat Singh State Technical Campus,Co-Ed,98 Acres,1274,67,1995,,"IK Gujral Punjab Technical University, Jalandhar","BT_CSE, BT_ME, BT_CE, BT_EE, BT_ECE, BT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Firozpur,Punjab,India,Public/Government,265789.4736842105
